state,envprogstr,corrupt,legprof,wealth,toxicwaste,publicenv,demcontrol,interpartycomp,envgroups,manufgroups
AK,8,0.58630002,0.31099999,44.293015,1.3083328,2.4200001,0.625,53.459999,0.346154,0.653846
AL,6,0.63029999,0.15800001,18.905834,4.6977491,2.3699999,0.80000001,27.27,0.064,0.537772
AR,5,0.1321,0.105,18.371607,3.713572,2.4200001,0.89999998,9.2600002,0.0455,0.636364
AZ,13,0.31760001,0.25,19.322035,4.1926804,2.52,0.30000001,33.900002,0.148448,0.782726
CA,34,0.49759999,0.625,25.490957,4.6940966,2.7,0.60000002,47.290001,0.014,0.258916
CO,17,0.21170001,0.30000001,23.823275,2.7536607,2.5,0.5,40.18,0.242424,0.521212
CT,29,0.21250001,0.233,30.161634,3.6323092,2.5900002,0.89999998,52.810001,0.192113,0.586451
DE,15,0.3012,0.192,34.347828,2.1517622,2.5999999,0.30000001,39.66,0.126582,1.054852
FL,24,0.60409999,0.255,19.881569,4.1190372,2.6100001,0.80000001,31.129999,0.245719,0.874907
GA,12,0.54629999,0.133,22.690317,4.4624538,2.49,1,16.190001,0.143322,0.651466
HI,15,0.9788,0.27599999,28.794449,0,2.5799999,1,33.400002,0.180723,0.542169
IA,20,0.063699998,0.22499999,21.189459,3.7612002,2.4400001,0.40000001,48.549999,0.151261,0.621849
ID,13,0.1331,0.119,19.606003,1.9878744,2.3499999,0.5,35.599998,1.38756,1.866029
IL,12,0.22409999,0.30199999,25.35745,4.9023075,2.5900002,0.44999999,41.610001,0.0408,0.315897
IN,25,0.22409999,0.139,21.514507,5.2181911,2.5599999,0.1,44.59,0.0411,0.567434
KS,15,0.1016,0.152,22.319302,3.4111476,2.5,0.32499999,35.810001,0.160142,1.067616
KY,13,0.25830001,0.101,20.143885,4.1956973,2.3899999,1,27.809999,0.0397,0.568783
LA,18,0.48800001,0.185,22.513456,5.5246558,2.5,0.85000002,,0.0728,0.748441
MA,26,0.26789999,0.61400002,27.004501,3.462606,2.6100001,1,30.389999,0.104938,0.438272
MD,12,0.62080002,0.204,23.646723,2.9957323,2.5700002,1,31,0.043,0.645439
ME,32,0.061799999,0.161,278.01132,2.7278528,2.46,0.75,45.900002,0.0262,0.096
MI,24,0.26359999,0.653,21.691607,4.8880911,2.53,0.75,49.580002,0.117417,0.684932
MN,28,0.065200001,0.199,24.653553,4.0235643,2.6100001,0.85000002,52.439999,0.199456,0.716228
MO,18,0.14920001,0.287,21.490467,4.5075574,2.45,0.5,27.120001,0.107527,0.519713
MS,11,0.47,0.16,16.953693,4.0876555,2.4400001,1,16.48,0,0.27088
MT,10,0.1578,0.11,18.469015,3.5723455,2.3299999,0.55000001,43.34,0.921053,2.039474
NC,7,0.47940001,0.20299999,23.340158,4.882802,2.55,0.69999999,33.419998,0.0815,0.432331
ND,37,0.0095,0.075000003,20.629921,0.18232159,2.3400002,0.44999999,56.580002,0.305344,1.526718
NE,12,0.0616,0.186,23.19202,2.8273137,2.4099998,0.2,54.060001,0.134409,0.833333
NH,18,0.1085,0.041999999,21.633753,2.6246686,2.52,0.1,29.01,0.290456,0.6639
NJ,27,0.2692,0.255,28.554972,3.8066626,2.6599998,0.5,51.810001,0.0807,0.475123
NM,14,0.4163,0.097999997,20.177103,3.4011974,2.5599999,0.69999999,37.099998,0.31348,1.442006
NV,9,0.42480001,0.16,27.648384,0.83290911,2.53,0.75,49.599998,0.380435,1.847826
NY,29,0.53640002,0.65899998,27.49931,4.601162,2.49,0.75,47.68,0.0663,0.271302
OH,20,0.2597,0.329,21.953657,5.3092575,2.49,0.69999999,49.610001,0.0248,0.608444
OK,12,0.53509998,0.25,18.777292,3.4934728,2.3499999,0.80000001,25.49,0.0997,1.013289
OR,29,0.098200001,0.186,21.07563,3.0726933,2.3699999,0.69999999,54.25,0.350877,1.22807
PA,18,0.29249999,0.336,22.268557,4.9045339,2.5,0.40000001,40.189999,0.0562,0.70412
RI,27,0.47530001,0.148,21.556887,2.0412202,2.6799998,0.75,39.490002,0.509259,0.833333
SC,12,0.67879999,0.178,19.415855,4.1896548,2.5,0.80000001,28.32,0.043,0.415473
SD,4,0.1435,0.082999997,21.297602,0.83290911,2.4099998,0,39.189999,0.927152,1.92053
TN,12,0.62150002,0.13500001,21.688906,4.8402424,2.47,0.69999999,26.719999,0.0459,0.523416
TX,17,0.2798,0.20999999,23.597668,5.7639365,2.51,0.69999999,21.959999,0.0432,0.419765
UT,10,0.2563,0.082000002,19.657648,4.8186674,2.3099999,0.2,45.290001,0.280899,1.404494
VA,17,0.6473,0.17,24.072624,4.7211738,2.51,0.47499999,40.709999,0.078,0.377113
VT,26,0.0059,0.145,20.665499,0.53062826,2.6300001,0.94999999,49.16,0.508475,2.20339
WA,25,0.1031,0.23,24.795958,3.3428619,2.54,0.625,53.939999,0.0705,0.619122
WI,25,0.1381,0.27000001,21.913147,4.1059437,2.47,0.69999999,49.130001,0,0.347032
WV,7,0.37650001,0.125,12.783619,3.6737659,2.4200001,0.80000001,44.970001,0.519481,1.991342
WY,11,0,0.056000002,28.448277,2.8154087,2.3899999,0.5,30.459999,1.060606,2.045455